TITLE="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=51_Re=100_BCM=1_CM=2_U=0.10.dat" I=51 J=51 F=POINT
0.0000000000, 0.9600000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0026874053, 653.9231906088
0.0000000000, 0.9800000000, -0.0000000000, 0.0000000000, 0.0000000000, 0.0010472174, -2501.0156069606
0.0000000000, 1.0000000000, 1.0000000000, -0.0000000000, 0.1000000000, 0.0151588374, -2500.0000000000
0.0200000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0015462359, -152.1582992112
0.0200000000, 0.0200000000, -0.0229813141, -0.0230739402, 0.0032566048, 0.0011007181, 0.4113199465
0.0200000000, 0.0400000000, 0.0149006915, 0.0041258858, 0.0015461356, -0.0002538294, 162.6954669291
0.0200000000, 0.0600000000, -0.0074714648, 0.0016726304, 0.0007656401, 0.0000896877, -66.8675428967
0.0200000000, 0.0800000000, -0.0010288222, 0.0003590968, 0.0001089691, 0.0000423546, 15.4760334411
0.0200000000, 0.1000000000, 0.0006433386, 0.0017681346, 0.0001881538, -0.0000060197, 5.1121728887
0.0200000000, 0.1200000000, -0.0003543731, 0.0018488201, 0.0001882476, 0.0000098699, -2.1709358166
0.0200000000, 0.1400000000, -0.0003404979, 0.0022868445, 0.0002312055, 0.0000127228, 0.9040259261
0.0200000000, 0.1600000000, -0.0003899210, 0.0030639006, 0.0003088612, 0.0000146159, 0.5775493953
0.0200000000, 0.1800000000, -0.0005082590, 0.0039581473, 0.0003990646, 0.0000192463, 0.1129348614
0.0200000000, 0.2000000000, -0.0005801707, 0.0050125510, 0.0005046015, 0.0000240271, -0.0997668495
0.0200000000, 0.2200000000, -0.0006474118, 0.0062130859, 0.0006246725, 0.0000293406, -0.5215283426
0.0200000000, 0.2400000000, -0.0007111149, 0.0075385333, 0.0007571999, 0.0000352726, -1.0126458925
0.0200000000, 0.2600000000, -0.0007674414, 0.0089792083, 0.0009011945, 0.0000416826, -1.5488727580
0.0200000000, 0.2800000000, -0.0008180615, 0.0105239173, 0.0010555665, 0.0000485402, -2.1410843486
0.0200000000, 0.3000000000, -0.0008629091, 0.0121610927, 0.0012191669, 0.0000558027, -2.7778916629
0.0200000000, 0.3200000000, -0.0009016181, 0.0138792751, 0.0013908529, 0.0000634172, -3.4521507319
0.0200000000, 0.3400000000, -0.0009339932, 0.0156665076, 0.0015694324, 0.0000713331, -4.1579058505
0.0200000000, 0.3600000000, -0.0009597784, 0.0175103393, 0.0017536623, 0.0000794972, -4.8880310165
0.0200000000, 0.3800000000, -0.0009787497, 0.0193978896, 0.0019422566, 0.0000878543, -5.6352119733
0.0200000000, 0.4000000000, -0.0009907737, 0.0213159480, 0.0021338961, 0.0000963480, -6.3919176507
0.0200000000, 0.4200000000, -0.0009958372, 0.0232511695, 0.0023272485, 0.0001049212, -7.1504516296
0.0200000000, 0.4400000000, -0.0009940896, 0.0251903457, 0.0025209953, 0.0001135177, -7.9031925559
0.0200000000, 0.4600000000, -0.0009858848, 0.0271207527, 0.0027138666, 0.0001220828, -8.6428556125
0.0200000000, 0.4800000000, -0.0009718236, 0.0290305791, 0.0029046841, 0.0001305659, -9.3628135357
0.0200000000, 0.5000000000, -0.0009527995, 0.0309094389, 0.0030924121, 0.0001389219, -10.0574837165
0.0200000000, 0.5200000000, -0.0009300495, 0.0327489764, 0.0032762180, 0.0001471143, -10.7227819947
0.0200000000, 0.5400000000, -0.0009052140, 0.0345435769, 0.0034555435, 0.0001551173, -11.3566597413
0.0200000000, 0.5600000000, -0.0008804098, 0.0362912034, 0.0036301881, 0.0001629197, -11.9597535257
0.0200000000, 0.5800000000, -0.0008583266, 0.0379943925, 0.0038004086, 0.0001705289, -12.5361989924
0.0200000000, 0.6000000000, -0.0008423556, 0.0396614593, 0.0039670404, 0.0001779748, -13.0946909241
0.0200000000, 0.6200000000, -0.0008367675, 0.0413079845, 0.0041316459, 0.0001853164, -13.6499278496
0.0200000000, 0.6400000000, -0.0008469643, 0.0429586890, 0.0042967037, 0.0001926477, -14.2246834704
