0	1.0000000000e+00
1000	1.4731202541e-03
2000	5.2195211292e-04
3000	3.4160882034e-04
4000	2.3987853961e-04
5000	1.7034195914e-04
6000	1.2136025961e-04
7000	8.6482911421e-05
8000	6.1633275615e-05
9000	4.3925676445e-05
10000	3.1306588719e-05
11000	2.2313235724e-05
12000	1.5903640027e-05
13000	1.1335375525e-05
14000	8.0794012038e-06
15000	5.7587104643e-06
16000	4.1046235995e-06
17000	2.9256534627e-06
18000	2.0853236463e-06
19000	1.4863626885e-06
20000	1.0594406977e-06
21000	7.5514245514e-07
22000	5.3824672136e-07
23000	3.8364901816e-07
24000	2.7345566593e-07
25000	1.9491257536e-07
26000	1.3892898493e-07
27000	9.9025242601e-08
28000	7.0582819652e-08
29000	5.0309745058e-08
30000	3.5859584126e-08
31000	2.5559855502e-08
32000	1.8218454876e-08
33000	1.2985680200e-08
34000	9.2558832373e-09
35000	6.5973731287e-09
36000	4.7024501433e-09
37000	3.3517944616e-09
38000	2.3890792763e-09
39000	1.7028789427e-09
40000	1.2137715840e-09
41000	8.6514738762e-10
42000	6.1665631661e-10
43000	4.3953783145e-10
44000	3.1329209662e-10
45000	2.2330723720e-10
46000	1.5916810847e-10
47000	1.1345125060e-10
48000	8.0865247937e-11
