TITLE="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" VARIABLES="x", "y", "u", "v", "vmag", "omegaxy", "vortz" ZONE T="Solution_n=29_m=29_Re=400_BCM=0_CM=2_G=1.00_U=0.10.dat" I=29 J=29 F=POINT
0.6724137931, 0.0517241379, -0.0042696476, -0.0027381514, 0.0005072215, -0.0000029321, 0.1512719202
0.7068965517, 0.0517241379, -0.0011565520, -0.0021780058, 0.0002466034, -0.0000014239, 0.0985815263
0.7413793103, 0.0517241379, 0.0012465390, -0.0015240735, 0.0001968923, -0.0000002066, 0.0538514684
0.7758620690, 0.0517241379, 0.0028328519, -0.0008298589, 0.0002951900, 0.0000006862, 0.0204471644
0.8103448276, 0.0517241379, 0.0035199168, -0.0000905427, 0.0003521081, 0.0000013059, -0.0019149104
0.8448275862, 0.0517241379, 0.0034588291, 0.0005920852, 0.0003509140, 0.0000015181, -0.0205675684
0.8793103448, 0.0517241379, 0.0028668500, 0.0008865962, 0.0003000814, 0.0000011399, -0.0266328957
0.9137931034, 0.0517241379, 0.0013679544, 0.0011267630, 0.0001772257, 0.0000012049, 0.0011106309
0.9482758621, 0.0517241379, -0.0003512440, 0.0022730904, 0.0002300068, 0.0000024635, -0.0174927864
0.9827586207, 0.0517241379, -0.0003123848, 0.0009414125, 0.0000991888, -0.0000010975, -0.0911091367
0.0172413793, 0.0862068966, -0.0007586675, 0.0024940417, 0.0002606879, 0.0000037690, 0.1576699244
0.0517241379, 0.0862068966, -0.0037047860, 0.0062944428, 0.0007303797, -0.0000006100, 0.1454886389
0.0862068966, 0.0862068966, -0.0087554301, 0.0078044611, 0.0011728903, -0.0000019819, 0.1690231308
0.1206896552, 0.0862068966, -0.0156168279, 0.0089716527, 0.0018010438, -0.0000044895, 0.2317923467
0.1551724138, 0.0862068966, -0.0229710959, 0.0095640330, 0.0024882564, -0.0000071386, 0.2999437521
0.1896551724, 0.0862068966, -0.0302142337, 0.0094482156, 0.0031657048, -0.0000096265, 0.3578969431
0.2241379310, 0.0862068966, -0.0370645106, 0.0085897994, 0.0038046847, -0.0000117951, 0.4069550995
0.2586206897, 0.0862068966, -0.0429836620, 0.0071473522, 0.0043573844, -0.0000135565, 0.4488728840
0.2931034483, 0.0862068966, -0.0475338363, 0.0052441321, 0.0047822239, -0.0000148592, 0.4785879819
0.3275862069, 0.0862068966, -0.0504619644, 0.0029771609, 0.0050549712, -0.0000156358, 0.4946943377
0.3620689655, 0.0862068966, -0.0516120560, 0.0005195374, 0.0051614671, -0.0000158355, 0.4994290789
0.3965517241, 0.0862068966, -0.0509680351, -0.0019052363, 0.0051003632, -0.0000155015, 0.4946641652
0.4310344828, 0.0862068966, -0.0486703342, -0.0041023956, 0.0048842922, -0.0000147405, 0.4816763907
0.4655172414, 0.0862068966, -0.0449653193, -0.0059356683, 0.0045355398, -0.0000136678, 0.4618176852
0.5000000000, 0.0862068966, -0.0401541834, -0.0073319870, 0.0040818090, -0.0000124052, 0.4363351261
0.5344827586, 0.0862068966, -0.0345485225, -0.0082649187, 0.0035523363, -0.0000110118, 0.4064275056
0.5689655172, 0.0862068966, -0.0284567237, -0.0087071506, 0.0029759025, -0.0000094936, 0.3730630722
0.6034482759, 0.0862068966, -0.0221991461, -0.0086467342, 0.0023823688, -0.0000079212, 0.3366051058
0.6379310345, 0.0862068966, -0.0160929170, -0.0081139608, 0.0018022717, -0.0000063396, 0.2974147788
0.6724137931, 0.0862068966, -0.0104323911, -0.0071542364, 0.0012649817, -0.0000047784, 0.2561897656
0.7068965517, 0.0862068966, -0.0054807181, -0.0058369353, 0.0008006752, -0.0000033140, 0.2140763167
0.7413793103, 0.0862068966, -0.0014719654, -0.0042564034, 0.0004503738, -0.0000020072, 0.1730386851
0.7758620690, 0.0862068966, 0.0014039365, -0.0025135515, 0.0002879059, -0.0000009141, 0.1335657378
0.8103448276, 0.0862068966, 0.0031227085, -0.0007739883, 0.0003217198, -0.0000001268, 0.0947268592
0.8448275862, 0.0862068966, 0.0037685599, 0.0007374445, 0.0003840035, 0.0000002876, 0.0623983708
0.8793103448, 0.0862068966, 0.0032574566, 0.0019558871, 0.0003799542, 0.0000003929, 0.0398740704
0.9137931034, 0.0862068966, 0.0019461955, 0.0028280673, 0.0003433022, 0.0000002866, 0.0085894270
0.9482758621, 0.0862068966, 0.0009621226, 0.0029503827, 0.0003103295, 0.0000001372, -0.0418412885
0.9827586207, 0.0862068966, 0.0003600943, 0.0011764111, 0.0001230289, -0.0000019098, -0.0854754646
0.0172413793, 0.1206896552, -0.0008620121, 0.0048547426, 0.0004930679, 0.0000069785, 0.2379461710
0.0517241379, 0.1206896552, -0.0056792446, 0.0114599480, 0.0012790005, 0.0000015710, 0.2066439319
0.0862068966, 0.1206896552, -0.0135029466, 0.0152212855, 0.0020347410, -0.0000010672, 0.2283622367
0.1206896552, 0.1206896552, -0.0229769871, 0.0176787959, 0.0028991063, -0.0000044911, 0.2653956847
0.1551724138, 0.1206896552, -0.0332378354, 0.0183732720, 0.0037978031, -0.0000075664, 0.3033515220
0.1896551724, 0.1206896552, -0.0432342909, 0.0178146069, 0.0046760711, -0.0000103307, 0.3461470725
0.2241379310, 0.1206896552, -0.0523138953, 0.0160880381, 0.0054731788, -0.0000127814, 0.3778100064
0.2586206897, 0.1206896552, -0.0600334088, 0.0132431284, 0.0061476749, -0.0000147355, 0.3995384852
0.2931034483, 0.1206896552, -0.0659008717, 0.0095413184, 0.0066587999, -0.0000161454, 0.4151836350
0.3275862069, 0.1206896552, -0.0695692448, 0.0052627540, 0.0069768018, -0.0000169827, 0.4245494378
0.3620689655, 0.1206896552, -0.0709131287, 0.0007312219, 0.0070916899, -0.0000171701, 0.4294188144
0.3965517241, 0.1206896552, -0.0699975735, -0.0036585650, 0.0070093119, -0.0000167612, 0.4321429817
0.4310344828, 0.1206896552, -0.0670589014, -0.0075672912, 0.0067484518, -0.0000159244, 0.4334649791
0.4655172414, 0.1206896552, -0.0624530147, -0.0107770026, 0.0063376043, -0.0000148341, 0.4332590237
0.5000000000, 0.1206896552, -0.0565705769, -0.0132020168, 0.0058090648, -0.0000136504, 0.4308477585
0.5344827586, 0.1206896552, -0.0497605130, -0.0148436084, 0.0051927270, -0.0000124006, 0.4260928584
0.5689655172, 0.1206896552, -0.0423389527, -0.0156727262, 0.0045146664, -0.0000110159, 0.4187843684
0.6034482759, 0.1206896552, -0.0346354784, -0.0156663367, 0.0038013819, -0.0000095470, 0.4069594848
0.6379310345, 0.1206896552, -0.0269726836, -0.0148731162, 0.0030801546, -0.0000080060, 0.3887031295
0.6724137931, 0.1206896552, -0.0196608818, -0.0133540043, 0.0023767198, -0.0000063850, 0.3635758896
0.7068965517, 0.1206896552, -0.0130226029, -0.0111892619, 0.0017169385, -0.0000047552, 0.3316347308
0.7413793103, 0.1206896552, -0.0073637795, -0.0085116556, 0.0011254934, -0.0000031874, 0.2924940533
0.7758620690, 0.1206896552, -0.0028961632, -0.0055359786, 0.0006247785, -0.0000018085, 0.2463689926
0.8103448276, 0.1206896552, 0.0002380259, -0.0025394953, 0.0002550626, -0.0000007391, 0.1982767563
0.8448275862, 0.1206896552, 0.0018853686, 0.0002872243, 0.0001907122, 0.0000000110, 0.1509279121
0.8793103448, 0.1206896552, 0.0022075369, 0.0026445889, 0.0003444861, 0.0000003311, 0.0933371040
0.9137931034, 0.1206896552, 0.0017700758, 0.0038298235, 0.0004219090, -0.0000000280, 0.0307493938
0.9482758621, 0.1206896552, 0.0008827059, 0.0036664480, 0.0003771208, -0.0000008440, -0.0205366382
0.9827586207, 0.1206896552, 0.0001382445, 0.0018539212, 0.0001859068, -0.0000026868, -0.0716111532
0.0172413793, 0.1551724138, -0.0011144694, 0.0077877788, 0.0007867118, 0.0000111264, 0.4249173602
0.0517241379, 0.1551724138, -0.0075895488, 0.0193947698, 0.0020826866, 0.0000038781, 0.3156897959
0.0862068966, 0.1551724138, -0.0182857020, 0.0255507277, 0.0031419844, 0.0000001330, 0.2776564394
0.1206896552, 0.1551724138, -0.0307679921, 0.0291217978, 0.0042364471, -0.0000040887, 0.2871637323
0.1551724138, 0.1551724138, -0.0437560796, 0.0300123198, 0.0053059720, -0.0000078870, 0.2960520667
0.1896551724, 0.1551724138, -0.0563716795, 0.0286716289, 0.0063244198, -0.0000111525, 0.3124562654
0.2241379310, 0.1551724138, -0.0676918516, 0.0255409348, 0.0072350025, -0.0000139921, 0.3289341009
0.2586206897, 0.1551724138, -0.0770847600, 0.0208302174, 0.0079849597, -0.0000162599, 0.3371519790
0.2931034483, 0.1551724138, -0.0841475648, 0.0148360086, 0.0085445420, -0.0000178804, 0.3408146374
0.3275862069, 0.1551724138, -0.0885513325, 0.0080118345, 0.0088913036, -0.0000188425, 0.3459951637
0.3620689655, 0.1551724138, -0.0901484657, 0.0009238109, 0.0090153199, -0.0000190299, 0.3554330620
0.3965517241, 0.1551724138, -0.0890695125, -0.0058130760, 0.0089259005, -0.0000184834, 0.3695829650
0.4310344828, 0.1551724138, -0.0856829082, -0.0116939718, 0.0086477221, -0.0000174597, 0.3876273394
0.4655172414, 0.1551724138, -0.0804799775, -0.0164290149, 0.0082139755, -0.0000162425, 0.4073371569
0.5000000000, 0.1551724138, -0.0739344277, -0.0199813588, 0.0076586907, -0.0000150760, 0.4265032402
0.5344827586, 0.1551724138, -0.0664049463, -0.0224350223, 0.0070092418, -0.0000139625, 0.4451235697
0.5689655172, 0.1551724138, -0.0581611326, -0.0237783819, 0.0062834137, -0.0000127147, 0.4621495016
0.6034482759, 0.1551724138, -0.0494657074, -0.0239835468, 0.0054973327, -0.0000113480, 0.4733296658
0.6379310345, 0.1551724138, -0.0405876969, -0.0231032212, 0.0046702462, -0.0000098328, 0.4751624412
0.6724137931, 0.1551724138, -0.0318227361, -0.0211737457, 0.0038223213, -0.0000080925, 0.4657314750
0.7068965517, 0.1551724138, -0.0235097301, -0.0182601286, 0.0029768099, -0.0000061972, 0.4428215127
0.7413793103, 0.1551724138, -0.0159906858, -0.0145358039, 0.0021609989, -0.0000042685, 0.4057403156
0.7758620690, 0.1551724138, -0.0096148681, -0.0102613026, 0.0014062006, -0.0000024810, 0.3574854536
0.8103448276, 0.1551724138, -0.0047283477, -0.0057327452, 0.0007431126, -0.0000009682, 0.3002316218
0.8448275862, 0.1551724138, -0.0014561775, -0.0013653697, 0.0001996168, 0.0000001015, 0.2300242823
0.8793103448, 0.1551724138, 0.0003630142, 0.0021624989, 0.0002192756, 0.0000004505, 0.1492217144
0.9137931034, 0.1551724138, 0.0008474068, 0.0042577246, 0.0004341235, 0.0000000595, 0.0692090433
0.9482758621, 0.1551724138, 0.0004025402, 0.0045316964, 0.0004549540, -0.0000009260, -0.0181512066
0.9827586207, 0.1551724138, 0.0000245895, 0.0020734106, 0.0002073556, -0.0000029324, -0.1091991818
0.0172413793, 0.1896551724, -0.0015016426, 0.0117198581, 0.0011815668, 0.0000168326, 0.6508495770
0.0517241379, 0.1896551724, -0.0096880058, 0.0295628177, 0.0031109768, 0.0000071482, 0.4523332957
0.0862068966, 0.1896551724, -0.0229246385, 0.0388915790, 0.0045145254, 0.0000015655, 0.3318060936
0.1206896552, 0.1896551724, -0.0383197903, 0.0434654533, 0.0057945250, -0.0000034940, 0.2884357429
0.1551724138, 0.1896551724, -0.0541053882, 0.0443016765, 0.0069928761, -0.0000079051, 0.2666393432
0.1896551724, 0.1896551724, -0.0692543838, 0.0419926586, 0.0080991068, -0.0000118412, 0.2538037589
0.2241379310, 0.1896551724, -0.0828404173, 0.0369867125, 0.0090722388, -0.0000152856, 0.2486346979
0.2586206897, 0.1896551724, -0.0939901956, 0.0298349079, 0.0098611757, -0.0000179540, 0.2469578352
0.2931034483, 0.1896551724, -0.1022237124, 0.0210811854, 0.0104374823, -0.0000197777, 0.2439306804
0.3275862069, 0.1896551724, -0.1073431779, 0.0112760013, 0.0107933804, -0.0000208035, 0.2444681592
